Setup,bin,X,dX,R3D,dR3D,PyRes,dPyRes,M7,1,H
kin1,0,0.39820,0.02183,-0.75511,0.02995,-0.02246,0.01660,-0.68418,1.00000,-0.74833,-0.00003
kin1,1,0.36498,0.01128,-0.78269,0.08065,-0.00091,0.04107,-0.71970,1.00000,-0.82481,-0.00006
kin1,2,0.38386,0.00334,-0.71973,0.06596,0.01546,0.04082,-0.70277,1.00000,-0.78029,-0.00002
kin1,3,0.39400,0.00264,-0.76920,0.07000,-0.03682,0.04071,-0.69063,1.00000,-0.75711,-0.00002
kin1,4,0.40305,0.00261,-0.75876,0.07953,-0.10938,0.04069,-0.67910,1.00000,-0.73673,-0.00002
kin1,5,0.41307,0.00329,-0.79464,0.08305,-0.04694,0.04082,-0.66614,1.00000,-0.71440,-0.00002
kin1,6,0.43032,0.00976,-0.71534,0.06496,0.04580,0.04019,-0.64663,1.00000,-0.67647,-0.00002
kin2,0,0.37946,0.02261,-0.87833,0.07930,-0.03003,0.02022,-0.77485,1.00000,-0.79144,-0.00001
kin3,0,0.19179,0.02033,-1.13322,0.03397,-0.00357,0.00801,-1.07363,1.00000,-1.39669,0.00020
kin3,1,0.15817,0.00857,-0.96638,0.07669,0.00940,0.02121,-0.98464,1.00000,-1.56300,-0.00011
kin3,2,0.17463,0.00318,-1.10551,0.08826,0.00021,0.02112,-1.08125,1.00000,-1.47271,0.00011
kin3,3,0.18450,0.00262,-1.15914,0.08868,-0.00110,0.02098,-1.09377,1.00000,-1.42438,0.00018
kin3,4,0.19308,0.00237,-1.10456,0.09075,-0.01959,0.02124,-1.09503,1.00000,-1.38485,0.00023
kin3,5,0.20127,0.00239,-1.18414,0.09072,0.02009,0.02107,-1.09413,1.00000,-1.34905,0.00028
kin3,6,0.20983,0.00259,-1.19172,0.09562,-0.02680,0.02128,-1.08949,1.00000,-1.31346,0.00034
kin3,7,0.22098,0.00595,-1.22753,0.10009,-0.01032,0.02159,-1.07722,1.00000,-1.26972,0.00039
kin4,0,0.17804,0.00629,-1.31204,0.10984,0.00621,0.00556,-1.33788,1.00000,-1.45618,0.00002
