Setup,bin,X,dX,R3D,dR3D,PyRes,dPyRes,M7,1,H
kin1,0,0.00154,0.00979,-0.75521,0.02996,-0.02250,0.01660,-0.68419,1.00000,-0.73788,-0.00003
kin1,1,-0.01267,0.00383,-0.68785,0.05629,0.02723,0.03663,-0.66548,1.00000,-0.70870,0.00009
kin1,2,-0.00694,0.00086,-0.83742,0.08173,-0.07132,0.04234,-0.67762,1.00000,-0.72506,0.00002
kin1,3,0.00006,0.00487,-0.74309,0.09112,-0.04025,0.05113,-0.69184,1.00000,-0.73673,-0.00000
kin1,4,0.00602,0.00051,-0.74815,0.08639,-0.01176,0.04465,-0.69327,1.00000,-0.74453,-0.00001
kin1,5,0.00826,0.00085,-0.72692,0.07186,-0.01594,0.04009,-0.69014,1.00000,-0.74861,-0.00004
kin1,6,0.01454,0.00500,-0.79552,0.07189,-0.02087,0.03781,-0.68680,1.00000,-0.76365,-0.00022
kin2,0,-0.03312,0.01684,-0.87823,0.07929,-0.02995,0.02023,-0.77470,1.00000,-0.80870,-0.00000
kin3,0,0.05573,0.02255,-1.13331,0.03398,-0.00361,0.00801,-1.07364,1.00000,-1.19052,0.00020
kin3,1,0.02976,0.00337,-1.20890,0.10078,-0.00115,0.02558,-1.10231,1.00000,-1.17128,0.00032
kin3,2,0.03767,0.00185,-1.18198,0.09779,-0.01626,0.02191,-1.10968,1.00000,-1.18146,0.00039
kin3,3,0.04389,0.00179,-1.31377,0.12129,-0.03711,0.02119,-1.11536,1.00000,-1.19127,0.00040
kin3,4,0.05045,0.00204,-1.23993,0.10097,-0.00411,0.02057,-1.11650,1.00000,-1.19956,0.00036
kin3,5,0.05854,0.00272,-1.08467,0.08519,0.01133,0.02042,-1.10438,1.00000,-1.20237,0.00027
kin3,6,0.07083,0.00469,-1.01676,0.07486,0.02264,0.02062,-1.06299,1.00000,-1.19875,0.00007
kin3,7,0.09904,0.01520,-0.96007,0.07127,-0.00345,0.02144,-0.90388,1.00000,-1.18889,-0.00038
kin4,0,0.00821,0.00418,-1.31203,0.10983,0.00625,0.00556,-1.33788,1.00000,-1.41686,0.00002
