nu,PW,DWIA,M7
0.041875,1.015810,1.042059,0.996415
0.043125,1.018729,1.043761,0.996039
0.044375,1.021505,1.046557,0.997109
0.045625,1.023908,1.048129,0.996615
0.046875,1.026659,1.049849,0.996416
0.048125,1.029661,1.050567,0.995178
0.049375,1.032668,1.051607,0.994082
0.050625,1.035014,1.055126,0.995586
0.051875,1.037923,1.055924,0.994348
0.053125,1.039912,1.058094,0.994481
0.054375,1.043311,1.058750,0.992987
0.055625,1.047072,1.057854,0.989970
0.056875,1.048700,1.061642,0.991196
0.058125,1.051991,1.059617,0.987700
0.059375,1.055467,1.061488,0.987099
0.060625,1.059200,1.060784,0.984026
0.061875,1.061897,1.061402,0.982991
0.063125,1.065032,1.063690,0.982792
0.064375,1.068455,1.061992,0.979115
0.065625,1.071309,1.063258,0.978692
0.066875,1.075143,1.063698,0.975854
0.068125,1.079123,1.065239,0.975133
0.069375,1.083023,1.061480,0.970549
0.070625,1.086461,1.065836,0.971339
0.071875,1.089462,1.065807,0.969447
0.073125,1.094131,1.065724,0.967502
0.074375,1.098232,1.065704,0.964083
0.075625,1.102107,1.065158,0.962132
0.076875,1.106040,1.068664,0.961966
0.078125,1.110747,1.067083,0.958781
0.079375,1.115546,1.067387,0.954774
0.080625,1.120198,1.068264,0.953712
0.081875,1.123786,1.067306,0.951467
0.083125,1.127202,1.068904,0.951250
0.084375,1.131632,1.067548,0.946415
0.085625,1.134026,1.068538,0.942991
0.086875,1.137011,1.073734,0.945059
0.088125,1.134664,1.068952,0.941458
0.089375,1.137321,1.070906,0.938059
0.090625,1.135957,1.072164,0.943930
0.091875,1.136417,1.063044,0.935079
0.093125,1.138250,1.072600,0.937100
0.094375,1.135150,1.072047,0.937470
0.095625,1.140679,1.075808,0.932453
0.096875,1.147750,1.073909,0.931909
0.098125,0.000000,1.074850,0.934079
0.099375,1.147750,1.067795,0.920110
